"","HHId","ComunID","ComunSize","Round","Animals.value","TraditionalAssets.value","IndustrialAssets.value","Total.value","Nfields","HHmale","HHAge","route.distance.SB","HHWealthZ","HHWealthAZ","HHWealthTZ","HHWealthIZ","AgeCorWealth","AgeCorWealthA","AgeCorWealthT","AgeCorWealthI","Gini.2","Gini.AgeCor.2","WealthCnt.2","Gini.3","Gini.AgeCor.3","WealthCnt.3","Gini","Gini.AgeCor","MeanWealth","MeanWealth.AgeCor","MeanWealthZ","MedianWealth","MedianWealth.AgeCor","MedianWealthZ","HHCnt","HHSize"
"17","HH0014",5,45,2,1720,1050,8278.365,11048.365,NA,1,41,118,0.886,0.703,-0.29,1.494,12375.7522598636,1991.3196247314,1173.9348684133,9485.06840072965,0.386208192781959,0.31340540184591,8,0.264216595285984,0.267628910963031,12,0.371134199665025,0.333555990354893,6559.13446428571,9353.85739571968,0.02425,6825.61125,10204.1229606828,0.4685,14,2
"18","HH0015",5,45,3,55,390,381.83,826.83,NA,1,30,118,-2.433,-1.62,-0.752,-1.357,1141.53387338691,51.2043254305851,726.904476362002,1639.07737806261,0.386208192781959,0.31340540184591,8,0.264216595285984,0.267628910963031,12,0.371134199665025,0.333555990354893,6559.13446428571,9353.85739571968,0.02425,6825.61125,10204.1229606828,0.4685,14,5
"19","HH0016",5,45,2,20,2210,764.04,2994.04,NA,1,20,118,0.743,-1.199,2.02,-0.073,11492.3990466526,128.111214822172,6967.52865408154,4092.89251667463,0.386208192781959,0.31340540184591,8,0.264216595285984,0.267628910963031,12,0.371134199665025,0.333555990354893,6559.13446428571,9353.85739571968,0.02425,6825.61125,10204.1229606828,0.4685,14,2
"20","HH0016",5,45,3,920,2870,4490.77,8280.77,NA,1,27,118,1.354,0.646,1.479,1.576,15608.4842237925,1840.38394899591,4866.08505533887,9859.99683355771,0.386208192781959,0.31340540184591,8,0.264216595285984,0.267628910963031,12,0.371134199665025,0.333555990354893,6559.13446428571,9353.85739571968,0.02425,6825.61125,10204.1229606828,0.4685,14,2
"21","HH0017",5,45,3,605,2820,4235.72,7660.72,4,1,33,118,0.791,0.053,1.084,0.976,11780.6303013867,814.353341662983,3678.79890837327,7350.71626294696,0.386208192781959,0.31340540184591,8,0.264216595285984,0.267628910963031,12,0.371134199665025,0.333555990354893,6559.13446428571,9353.85739571968,0.02425,6825.61125,10204.1229606828,0.4685,14,3
"22","HH0018",5,45,2,420,5030,8473.085,13923.085,NA,1,49,118,1.139,-0.426,1.534,1.317,14056.2510124792,421.591857739578,5052.27699261217,8711.838945886,0.386208192781959,0.31340540184591,8,0.264216595285984,0.267628910963031,12,0.371134199665025,0.333555990354893,6559.13446428571,9353.85739571968,0.02425,6825.61125,10204.1229606828,0.4685,14,2
"23","HH0018",5,45,3,570,920,4522.645,6012.645,NA,1,56,118,-0.319,-0.281,-0.418,0.256,6276.24362110115,515.641315339965,1034.58886794407,4974.79814917697,0.386208192781959,0.31340540184591,8,0.264216595285984,0.267628910963031,12,0.371134199665025,0.333555990354893,6559.13446428571,9353.85739571968,0.02425,6825.61125,10204.1229606828,0.4685,14,2
"24","HH0019",5,45,2,0,530,4423.72,4953.72,NA,1,25,118,0.881,-1.874,-0.231,1.656,12339.1518276248,19.4057167913291,1241.24458890841,10235.954711879,0.386208192781959,0.31340540184591,8,0.264216595285984,0.267628910963031,12,0.371134199665025,0.333555990354893,6559.13446428571,9353.85739571968,0.02425,6825.61125,10204.1229606828,0.4685,14,2
"25","HH0019",5,45,3,1097.5,2670,4523.6,8291.1,NA,1,32,118,0.981,0.566,1.078,1.153,12987.5179924457,1645.31290460076,3662.60126146757,8036.20615230475,0.386208192781959,0.31340540184591,8,0.264216595285984,0.267628910963031,12,0.371134199665025,0.333555990354893,6559.13446428571,9353.85739571968,0.02425,6825.61125,10204.1229606828,0.4685,14,2
"26","HH0020",5,45,2,20,510,309.11,839.11,NA,1,33,118,-2.192,-1.822,-0.753,-1.608,1468.64095461351,25.2294582900487,725.693849057848,1315.04343339862,0.386208192781959,0.31340540184591,8,0.264216595285984,0.267628910963031,12,0.371134199665025,0.333555990354893,6559.13446428571,9353.85739571968,0.02425,6825.61125,10204.1229606828,0.4685,14,2
"27","HH0021",5,45,3,202.5,560,513.345,1275.845,NA,1,22,118,-0.668,-0.227,0.164,-0.491,5012.60094043494,555.691711674069,1776.31453876702,3131.62542202561,0.386208192781959,0.31340540184591,8,0.264216595285984,0.267628910963031,12,0.371134199665025,0.333555990354893,6559.13446428571,9353.85739571968,0.02425,6825.61125,10204.1229606828,0.4685,14,1
"28","HH0022",5,45,3,1270,2630,6275.79,10175.79,NA,1,46,118,0.699,0.358,0.71,1.022,11229.4367213349,1235.85190426441,2775.16477246396,7523.97501408988,0.386208192781959,0.31340540184591,8,0.264216595285984,0.267628910963031,12,0.371134199665025,0.333555990354893,6559.13446428571,9353.85739571968,0.02425,6825.61125,10204.1229606828,0.4685,14,2
"29","HH0023",5,45,3,20,50,404.345,474.345,NA,1,17,118,-1.855,-1.07,-1.317,-0.224,2017.39280321817,160.001167536919,355.25755520351,3726.58289534855,0.386208192781959,0.31340540184591,8,0.264216595285984,0.267628910963031,12,0.371134199665025,0.333555990354893,6559.13446428571,9353.85739571968,0.02425,6825.61125,10204.1229606828,0.4685,14,2
"30","HH0024",110,76,2,217.5,2580,803.37,3600.87,3,1,30,101,-0.134,-0.56,1.234,-0.819,7027.09626901115,348.644064422651,4097.61780824776,2491.50744685056,0.241831368038602,0.248159327160846,11,NA,NA,NA,0.241831368038602,0.248159327160846,6452.01454545455,8531.41076175729,0.0664545454545454,5805.4,7461.32892060417,-0.034,11,5
"31","HH0025",110,76,2,3890,680,846.8,5416.8,NA,1,21,101,1.426,1.869,0.379,-0.069,16153.1805480684,11225.5844365136,2129.25046975328,4103.84151493736,0.241831368038602,0.248159327160846,11,NA,NA,NA,0.241831368038602,0.248159327160846,6452.01454545455,8531.41076175729,0.0664545454545454,5805.4,7461.32892060417,-0.034,11,2
"32","HH0026",110,76,2,487.5,850,1596.975,2934.475,2,1,46,101,-1.322,-0.303,-0.573,-1.127,3138.73065402465,499.997944997906,882.306847383897,1975.40935113107,0.241831368038602,0.248159327160846,11,NA,NA,NA,0.241831368038602,0.248159327160846,6452.01454545455,8531.41076175729,0.0664545454545454,5805.4,7461.32892060417,-0.034,11,2
