"","HHId","ComunID","Round","Animals.value","TraditionalAssets.value","IndustrialAssets.value","Total.value","Nfields","HHmale","HHAge","route.distance.SB","ComunSize","HHSize"
"623","HH0505",51,2,165,4370,601.785,5136.785,NA,1,42,107,346,7
"624","HH0506",51,2,16002.5,370,4866.005,21238.505,2,1,73,107,346,2
"625","HH0507",51,2,1060,580,1148.38,2788.38,NA,1,24,107,346,4
"626","HH0508",51,2,1350,2720,3679.065,7749.065,5,1,37,107,346,8
"627","HH0509",51,2,402.5,2580,5598.48,8580.98,3,1,38,107,346,8
"628","HH0509",51,3,0,430,424.465,854.465,NA,1,44,107,346,8
"629","HH0510",51,3,1505,4985,10171.79,16661.79,NA,1,62,107,346,2
"630","HH0511",51,2,1255,460,4506.765,6221.765,2,1,40,107,346,10
"631","HH0511",51,3,2075,870,4220.43,7165.43,3,1,46,107,346,10
"632","HH0512",51,2,260,2520,5405.86,8185.86,4,1,35,107,346,7
"633","HH0513",51,3,2952.5,5180,10616.06,18748.56,NA,1,50,107,346,2
"634","HH0514",51,2,1895,3245,5680.72,10820.72,5,1,46,107,346,6
"635","HH0515",51,2,840,2570,8105.56,11515.56,5,1,55,107,346,4
"636","HH0516",51,2,1242.5,2970,7131.55,11344.05,2,1,64,107,346,8
"637","HH0517",51,2,260,2870,5639.05,8769.05,4,1,47,107,346,6
"638","HH0518",202,2,260,2620,724.645,3604.645,NA,1,40,30,56,2
"639","HH0519",202,2,225,560,426.925,1211.925,2,1,31,30,56,6
"640","HH0520",202,2,335,350,589.25,1274.25,3,1,24,30,56,5
"641","HH0520",121,3,0,620,1403.1,2023.1,NA,1,31,21,88,5
"642","HH0521",202,2,295,4225,1913.16,6433.16,6,1,44,30,56,11
"643","HH0522",202,2,20,1000,405.74,1425.74,NA,1,31,30,56,4
"644","HH0523",202,2,55,2680,959.495,3694.495,NA,1,24,30,56,2
"645","HH0524",202,2,0,150,265.705,415.705,NA,0,58,30,56,2
"646","HH0525",202,2,17.5,350,262.095,629.595,NA,1,18,30,56,2
"647","HH0526",202,2,20,2720,1127.83,3867.83,4,1,52,30,56,11
"648","HH0527",202,2,325,2770,1087.985,4182.985,NA,1,26,30,56,2
"649","HH0528",202,2,637.5,620,772.4,2029.9,NA,1,24,30,56,2
"650","HH0529",202,2,72.5,620,515.615,1208.115,2,1,21,30,56,4
"651","HH0530",202,2,167.5,470,476.105,1113.605,4,1,26,30,56,6
"652","HH0531",202,2,130,1405,560.3,2095.3,NA,1,20,30,56,2
"653","HH0532",116,2,275,840,1511.185,2626.185,NA,1,29,61,65,9
"654","HH0533",116,2,495,930,3583.525,5008.525,NA,1,47,61,65,5
"655","HH0534",116,2,405,790,419.77,1614.77,NA,1,25,61,65,3
"656","HH0535",116,2,830,1110,4985.565,6925.565,NA,1,49,61,65,11
"657","HH0536",116,2,237.5,1080,4613.32,5930.82,NA,1,37,61,65,11
"658","HH0537",116,2,1291,802,3647.06,5740.06,NA,1,26,61,65,4
"659","HH0538",116,2,522.5,620,2062.755,3205.255,NA,1,47,61,65,11
"660","HH0539",56,2,405,1040,4090.17,5535.17,2,1,36,93,67,8
"661","HH0539",56,3,2047.5,2790,3644.18,8481.68,2,1,42,93,67,8
"662","HH0540",56,3,12175,2370,4392.515,18937.515,NA,1,37,93,67,7
"663","HH0540",56,2,1440,1095,2461.81,4996.81,2,1,31,93,67,7
"664","HH0541",56,2,1487.5,830,1307.66,3625.16,2,0,78,93,67,1
"665","HH0541",56,3,240,900,1095.355,2235.355,1,0,84,93,67,1
"666","HH0542",56,3,1410,5130,7617.035,14157.035,4,1,52,93,67,5
"667","HH0542",56,2,1150,9440,4952.395,15542.395,2,1,46,93,67,5
"668","HH0543",56,2,75,830,4004.49,4909.49,NA,1,44,93,67,2
"669","HH0544",56,2,2445,470,1139.55,4054.55,NA,1,23,93,67,2
"670","HH0545",56,2,3110,770,4598.425,8478.425,NA,1,41,93,67,2
"671","HH0546",56,3,255,830,558.6,1643.6,NA,1,31,93,67,8
"672","HH0547",56,3,8637.5,4790,10363.225,23790.725,2,1,62,93,67,4
"673","HH0548",56,2,2072.5,3330,6178.505,11581.005,NA,1,39,93,67,2
"674","HH0549",56,3,310,2490,4640.08,7440.08,1,1,49,93,67,3
"675","HH0549",56,2,4335,2920,5489.915,12744.915,2,1,43,93,67,3
"676","HH0550",56,2,577.5,3080,2437.66,6095.16,NA,1,34,93,67,2
"677","HH0551",56,3,0,2530,4298.49,6828.49,4,1,66,93,67,2
"678","HH0552",56,3,3685,560,583.02,4828.02,NA,1,25,93,67,4
"679","HH0553",232,3,405,4680,4584.745,9669.745,NA,1,47,27,45,2
"680","HH0554",232,3,772.5,2800,5119.915,8692.415,NA,1,33,27,45,4
"681","HH0555",232,3,130,480,4658.29,5268.29,NA,1,37,27,45,2
"682","HH0556",232,3,1315,4790,6627.25,12732.25,NA,1,59,27,45,2
"683","HH0557",232,3,442.5,410,4474.74,5327.24,NA,1,30,27,45,2
"684","HH0558",232,3,38392.5,1500,8686.62,48579.12,NA,1,27,27,45,2
"685","HH0559",232,3,655,800,3882.51,5337.51,NA,1,54,27,45,10
"686","HH0559",73,2,980,3440,7368.215,11788.215,3,1,47,25,228,10
"687","HH0560",232,3,737.5,740,1566.47,3043.97,NA,1,31,27,45,2
"688","HH0561",232,3,1220,2580,1959.33,5759.33,NA,1,63,27,45,2
"689","HH0562",232,3,2000,5040,8808.6,15848.6,3,1,37,27,45,7
"690","HH0563",155,2,720,310,1279.005,2309.005,NA,1,43,68,62,9
"691","HH0564",155,2,217.5,560,490.095,1267.595,NA,0,45,68,62,2
"692","HH0565",155,2,0,760,4581.47,5341.47,NA,1,65,68,62,1
"693","HH0566",155,2,0,400,1397.82,1797.82,NA,1,36,68,62,1
"694","HH0567",155,2,980,1530,9165.575,11675.575,NA,1,41,68,62,5
"695","HH0568",155,2,460,660,4565.585,5685.585,NA,1,40,68,62,4
"696","HH0569",155,2,110,720,1257.665,2087.665,NA,1,42,68,62,8
"697","HH0570",155,2,1810,850,3305.65,5965.65,NA,1,47,68,62,8
"698","HH0571",155,2,675,1350,2827.265,4852.265,2,1,41,68,62,11
"699","HH0572",155,2,622.5,810,1892.745,3325.245,2,1,43,68,62,7
"700","HH0573",155,2,75,780,1954.34,2809.34,NA,0,69,68,62,1
"701","HH0574",NA,3,135,5040,4964.05,10139.05,NA,1,31,NA,NA,4
"702","HH0575",121,3,2760,540,5008.83,8308.83,NA,1,34,21,88,2
"703","HH0576",121,3,647.5,580,2304.91,3532.41,NA,1,57,21,88,2
"704","HH0577",121,3,555,210,386.375,1151.375,NA,1,20,21,88,2
"705","HH0578",121,3,960,790,2810.34,4560.34,NA,1,30,21,88,4
"706","HH0579",121,3,695,1265,6830.93,8790.93,2,1,58,21,88,5
"707","HH0580",121,3,1270,490,6570.845,8330.845,NA,1,44,21,88,2
"708","HH0581",121,3,1485,830,5266.66,7581.66,NA,1,34,21,88,2
"709","HH0582",121,3,1002.5,500,810.15,2312.65,NA,1,25,21,88,2
"710","HH0583",121,3,450,800,2739.935,3989.935,NA,1,39,21,88,2
"711","HH0584",121,3,272.5,480,2422.635,3175.135,NA,1,24,21,88,2
"712","HH0585",121,3,425,840,5991.07,7256.07,NA,1,32,21,88,2
"713","HH0586",121,3,567.5,700,789.095,2056.595,NA,1,26,21,88,2
"714","HH0587",121,3,1660,580,2402.31,4642.31,NA,1,43,21,88,2
"715","HH0588",121,3,10095,600,4640.46,15335.46,NA,1,39,21,88,2
"716","HH0589",121,3,110,680,3622.13,4412.13,NA,1,53,21,88,2
"717","HH0590",121,3,0,470,5143.04,5613.04,NA,1,33,21,88,3
"718","HH0591",121,3,162.5,170,1029.79,1362.29,NA,1,23,21,88,2
"719","HH0592",121,3,565,690,5612.09,6867.09,NA,1,63,21,88,2
"720","HH0593",121,3,110,480,1488.925,2078.925,NA,1,68,21,88,2
"721","HH0594",121,3,1655,790,6009.205,8454.205,NA,1,43,21,88,2
"722","HH0595",121,3,1787.5,1000,9126.43,11913.93,NA,1,46,21,88,2
"723","HH0596",121,3,195,750,724.65,1669.65,NA,1,26,21,88,2
"724","HH0597",NA,3,9690,4660,4073.2,18423.2,NA,1,41,NA,NA,2
"725","HH0598",NA,3,9887.5,420,4665.63,14973.13,5,1,44,NA,NA,8
"726","HH0599",211,3,190,200,527.12,917.12,NA,1,29,8,67,5
"727","HH0600",211,3,340,1970,3282.245,5592.245,3,1,56,8,67,4
"728","HH0601",211,3,670,805,1050.72,2525.72,3,1,60,8,67,6
"729","HH0602",211,3,275,390,1322.265,1987.265,NA,1,29,8,67,4
"730","HH0603",211,3,170,420,1153.475,1743.475,3,0,63,8,67,4
"731","HH0604",211,3,2862.5,375,4755.08,7992.58,3,1,40,8,67,5
"732","HH0605",211,3,437.5,430,1165.74,2033.24,3,1,49,8,67,10
"733","HH0606",209,3,8185,2640,4700.1,15525.1,3,1,51,5,103,6
"734","HH0607",209,3,530,560,704.85,1794.85,NA,0,34,5,103,3
"735","HH0608",209,3,475,2670,3154.055,6299.055,4,1,53,5,103,3
"736","HH0609",209,3,1125,960,1611.84,3696.84,2,1,39,5,103,7
"737","HH0610",209,3,370,2195,5917.54,8482.54,2,1,68,5,103,5
"738","HH0611",209,3,75,590,552.625,1217.625,NA,1,27,5,103,5
"739","HH0612",209,3,220,1455,792.77,2467.77,NA,1,20,5,103,2
"740","HH0613",209,3,165,620,3167.94,3952.94,0,0,60,5,103,4
"741","HH0614",209,3,390,3160,2406.675,5956.675,2,1,40,5,103,8
"742","HH0615",209,3,365,350,888.125,1603.125,NA,1,22,5,103,4
"743","HH0616",209,3,335,720,845.43,1900.43,NA,1,35,5,103,11
"744","HH0617",209,3,13650,3200,7987.25,24837.25,3,1,59,5,103,8
"745","HH0618",209,3,435,740,4721.265,5896.265,2,1,58,5,103,6
"746","HH0619",209,3,565,390,1682.245,2637.245,2,1,44,5,103,3
"747","HH0620",209,3,385,970,657.265,2012.265,NA,1,30,5,103,4
"748","HH0621",209,3,765,440,2305.245,3510.245,NA,1,33,5,103,5
"749","HH0622",209,3,570,3200,5705.6,9475.6,0,0,36,5,103,3
"750","HH0623",209,3,1560,885,809.965,3254.965,NA,1,28,5,103,6
"751","HH0624",201,2,0,460,1465.6,1925.6,NA,1,24,37,53,2
"752","HH0625",201,2,3205,870,5505.18,9580.18,NA,1,37,37,53,2
"753","HH0626",201,2,182.5,2940,3375.76,6498.26,3,1,38,37,53,6
"754","HH0627",201,2,125,770,1010.205,1905.205,NA,1,18,37,53,2
"755","HH0628",201,2,40,410,1308.4,1758.4,NA,1,28,37,53,2
"756","HH0629",201,2,0,500,485.945,985.945,3,1,19,37,53,3
"757","HH0630",201,2,480,4620,3908.545,9008.545,NA,1,35,37,53,2
"758","HH0631",201,2,57.5,680,2336.005,3073.505,5,1,44,37,53,8
"759","HH0632",201,2,57.5,360,2962.305,3379.805,NA,1,33,37,53,2
"760","HH0633",201,2,665,210,2137.675,3012.675,NA,1,28,37,53,2
"761","HH0634",201,2,35,210,480.12,725.12,NA,1,22,37,53,5
"762","HH0635",201,2,127.5,6780,5337.24,12244.74,NA,0,57,37,53,2
"763","HH0636",201,2,95,4440,4492.24,9027.24,NA,1,37,37,53,2
"764","HH0637",201,2,470,2790,4607.305,7867.305,NA,1,56,37,53,2
"765","HH0638",201,2,310,2420,3160.52,5890.52,NA,1,41,37,53,2
"766","HH0639",201,2,785,620,4531.54,5936.54,NA,1,23,37,53,2
"767","HH0640",1,2,240,1170,850.63,2260.63,NA,1,26,14,188,5
"768","HH0640",1,3,705,3490,2244.16,6439.16,NA,1,32,14,188,5
"769","HH0641",1,2,1327.5,0,1008.38,2335.88,NA,1,25,14,188,5
"770","HH0641",1,3,1305,380,962.425,2647.425,NA,1,31,14,188,5
"771","HH0642",1,2,1405,560,1086.13,3051.13,NA,1,30,14,188,8
"772","HH0642",1,3,1142.5,530,1131.755,2804.255,NA,1,36,14,188,8
"773","HH0643",1,2,255,600,1569.925,2424.925,NA,1,22,14,188,4
"774","HH0644",1,2,475,1230,4745.86,6450.86,4,1,52,14,188,7
"775","HH0645",1,3,1845,50,5407.12,7302.12,2,1,55,14,188,6
"776","HH0645",1,2,2040,2050,1893.785,5983.785,NA,1,49,14,188,6
"777","HH0646",1,2,757.5,2750,4014.615,7522.115,NA,1,70,14,188,8
"778","HH0647",1,2,457.5,0,3536.06,3993.56,NA,1,39,14,188,5
"779","HH0647",1,3,802.5,120,3012.6,3935.1,2,1,45,14,188,5
"780","HH0648",1,2,2045,1125,2644.52,5814.52,NA,1,24,14,188,4
"781","HH0648",1,3,802.5,440,1550.11,2792.61,NA,1,30,14,188,4
"782","HH0649",1,3,1647.5,2320,2190.83,6158.33,2,1,39,14,188,3
"783","HH0650",1,2,55,330,337.83,722.83,NA,1,23,14,188,4
"784","HH0651",1,2,1490,585,2334.095,4409.095,NA,1,30,14,188,4
"785","HH0652",1,2,0,0,474.765,474.765,NA,1,31,14,188,1
"786","HH0653",1,2,910,2260,3481.97,6651.97,2,1,59,14,188,2
"787","HH0654",1,2,3117.5,1040,3933.845,8091.345,3,1,56,14,188,8
"788","HH0655",1,3,900,2730,4831.205,8461.205,1,1,39,14,188,6
"789","HH0656",1,2,430,620,787.4,1837.4,NA,1,35,14,188,5
"790","HH0656",1,3,1097.5,2620,672.5,4390,NA,1,41,14,188,5
"791","HH0657",1,3,990,4560,3819.185,9369.185,NA,1,33,14,188,6
"792","HH0658",1,3,1350,6050,2158.12,9558.12,3,1,51,14,188,7
"793","HH0659",1,3,657.5,610,655.22,1922.72,NA,1,24,14,188,4
"794","HH0660",1,3,165,260,275.175,700.175,NA,1,23,14,188,3
"795","HH0661",1,2,165,320,821.26,1306.26,NA,1,25,14,188,6
"796","HH0661",1,3,225,785,1308.63,2318.63,NA,1,31,14,188,6
"797","HH0662",1,3,1545,2410,2353.05,6308.05,2,1,46,14,188,4
"798","HH0662",1,2,4715,2635,2736.425,10086.425,NA,1,40,14,188,4
"799","HH0663",1,2,2065,0,1054.925,3119.925,NA,1,23,14,188,4
"800","HH0664",1,2,965,1200,2258.045,4423.045,2,0,47,14,188,5
"801","HH0664",1,3,1570,2430,5103.675,9103.675,1,0,53,14,188,5
"802","HH0665",1,2,617.5,450,2806.99,3874.49,NA,1,43,14,188,11
"803","HH0666",1,3,550,610,742,1902,NA,1,27,14,188,5
"804","HH0667",1,3,2380,410,4926.52,7716.52,2,1,65,14,188,2
"805","HH0668",1,3,570,2430,5819.39,8819.39,4,1,49,14,188,7
"806","HH0669",1,3,255,270,402.3,927.3,NA,0,25,14,188,3
"807","HH0670",1,2,635,995,5729.695,7359.695,1,1,61,14,188,2
"808","HH0670",1,3,515,2480,4650.02,7645.02,2,1,67,14,188,2
"809","HH0671",1,3,185,0,560.6,745.6,NA,0,23,14,188,4
"810","HH0672",1,2,442.5,640,1834.93,2917.43,2,1,67,14,188,2
"811","HH0673",1,2,240,880,3537.995,4657.995,3,1,41,14,188,3
"812","HH0674",1,3,567.5,430,400.205,1397.705,0,0,69,14,188,2
"813","HH0675",1,2,840,5230,4962.33,11032.33,NA,1,57,14,188,4
"814","HH0676",1,3,690,4430,4954.935,10074.935,1,1,45,14,188,4
"815","HH0677",1,3,512.5,2000,422.925,2935.425,0,0,80,14,188,1
"816","HH0678",1,3,365,0,842.865,1207.865,NA,1,25,14,188,4
"817","HH0679",1,3,1257.5,2610,4243.31,8110.81,2,1,40,14,188,4
"818","HH0680",1,2,0,440,1345.895,1785.895,2,1,61,14,188,4
"819","HH0681",1,3,382.5,350,468.32,1200.82,NA,1,21,14,188,3
"820","HH0682",1,2,80,920,1991.8,2991.8,NA,1,32,14,188,7
"821","HH0683",1,3,395,410,2041.135,2846.135,3,1,42,14,188,8
"822","HH0684",1,3,842.5,2710,2049.955,5602.455,0,1,45,14,188,7
"823","HH0685",1,3,3250,560,1882.225,5692.225,4,1,45,14,188,5
"824","HH0686",230,3,272.5,0,1057.945,1330.445,NA,1,35,16,44,2
"825","HH0687",230,3,460,855,1239.49,2554.49,NA,1,82,16,44,2
"826","HH0688",230,3,545,2380,5778.6,8703.6,NA,1,53,16,44,2
"827","HH0689",230,3,292.5,820,1460.895,2573.395,NA,1,26,16,44,2
"828","HH0690",230,3,350,420,1074.535,1844.535,NA,1,49,16,44,2
"829","HH0691",230,3,2077.5,2690,2321.13,7088.63,NA,1,63,16,44,2
"830","HH0692",230,3,390,2770,4901.95,8061.95,NA,1,28,16,44,2
"831","HH0693",NA,3,0,410,303.425,713.425,NA,1,29,NA,NA,7
"832","HH0694",73,2,370,735,1353.745,2458.745,NA,1,44,25,228,7
"833","HH0695",73,2,540,2320,1765.9,4625.9,1,1,22,25,228,4
"834","HH0696",73,2,295,460,1460.385,2215.385,NA,1,37,25,228,6
"835","HH0697",73,2,1640,2830,4747.955,9217.955,1.5,1,46,25,228,5
"836","HH0698",73,2,0,470,3839.36,4309.36,1.5,1,41,25,228,4
"837","HH0699",73,2,35,700,430.88,1165.88,NA,1,29,25,228,5
"838","HH0700",73,2,362.5,320,1433.36,2115.86,NA,1,40,25,228,6
"839","HH0701",73,2,937.5,560,5339.31,6836.81,2,1,59,25,228,10
"840","HH0702",73,2,257.5,570,603.04,1430.54,NA,1,30,25,228,3
"841","HH0703",73,2,712.5,2930,2414.085,6056.585,3,1,35,25,228,9
"842","HH0704",73,2,2175,1620,6136.34,9931.34,NA,1,40,25,228,5
"843","HH0705",73,2,2185,0,499.985,2684.985,NA,1,28,25,228,3
"844","HH0706",73,2,345,880,2011.71,3236.71,2,1,33,25,228,5
"845","HH0707",73,2,6505,50,717.86,7272.86,NA,1,29,25,228,2
"846","HH0708",73,2,127.5,260,1157.38,1544.88,NA,1,25,25,228,5
"847","HH0709",73,2,20235,785,8793.065,29813.065,NA,0,64,25,228,3
"848","HH0710",73,2,72.5,2980,4559.935,7612.435,NA,1,39,25,228,4
"849","HH0711",73,2,16165,1020,11820.27,29005.27,3,1,62,25,228,4
"850","HH0712",73,2,630,3055,11596.16,15281.16,1,1,36,25,228,12
"851","HH0713",73,2,9940,635,8183.865,18758.865,NA,1,59,25,228,9
"852","HH0714",73,2,457.5,3015,8350.225,11822.725,1.5,1,41,25,228,9
"853","HH0715",73,2,272.5,670,3764.655,4707.155,NA,1,29,25,228,5
"854","HH0716",73,2,20,100,4525.32,4645.32,NA,1,39,25,228,4
"855","HH0717",73,2,875,720,3956.13,5551.13,NA,1,56,25,228,5
"856","HH0718",73,2,0,150,3787.65,3937.65,NA,1,84,25,228,1
"857","HH0719",73,2,255,560,4775.355,5590.355,NA,1,27,25,228,6
"858","HH0720",73,2,3057.5,1370,4780.58,9208.08,3,1,46,25,228,11
"859","HH0721",73,2,540,1070,5567.16,7177.16,NA,1,39,25,228,9
"860","HH0722",73,2,2700,3075,2242.835,8017.835,1,1,31,25,228,5
"861","HH0723",73,2,110,410,1871.97,2391.97,NA,1,27,25,228,6
"862","HH0724",73,2,1107.5,375,828.7,2311.2,NA,1,29,25,228,4
"863","HH0725",73,2,175,0,1735.12,1910.12,2,1,21,25,228,3
"864","HH0726",73,2,200,0,1814.035,2014.035,1,1,35,25,228,9
"865","HH0727",73,2,900,1615,4234.49,6749.49,3,1,43,25,228,11
"866","HH0728",73,2,312.5,620,1276.85,2209.35,2,1,30,25,228,4
"867","HH0729",73,2,780,0,786.675,1566.675,NA,1,16,25,228,1
"868","HH0730",73,2,555,570,5661.91,6786.91,2,1,43,25,228,7
"869","HH0731",73,2,520,160,6307.955,6987.955,2,1,48,25,228,12
"870","HH0732",73,2,1790,50,5023.88,6863.88,3,1,43,25,228,6
"871","HH0733",73,2,165,0,744.025,909.025,3,1,33,25,228,6
"872","HH0734",73,2,1100,610,2060.25,3770.25,NA,1,49,25,228,6
"873","HH0735",73,2,0,100,722.6,822.6,1,1,21,25,228,3
"874","HH0736",214,3,1275,830,1476.865,3581.865,3,1,45,19,58,7
"875","HH0737",214,3,217.5,2790,1941.03,4948.53,NA,1,21,19,58,3
"876","HH0738",214,3,130,480,665.52,1275.52,NA,1,29,19,58,4
"877","HH0739",214,3,315,380,2277.04,2972.04,2,1,53,19,58,2
"878","HH0740",214,3,107.5,0,729.97,837.47,NA,1,25,19,58,4
"879","HH0741",81,2,145,970,1365.07,2480.07,NA,1,34,29,272,4
"880","HH0741",214,3,2385,2860,1402.64,6647.64,2,1,41,19,58,4
"881","HH0742",214,3,185,680,1676.865,2541.865,NA,1,27,19,58,3
"882","HH0743",214,3,110,320,767.63,1197.63,1,1,40,19,58,6
"883","HH0744",214,3,165,570,6083.715,6818.715,1,0,61,19,58,5
"884","HH0745",214,3,4630,590,757.395,5977.395,1,1,57,19,58,6
"885","HH0746",214,3,60,580,1861.32,2501.32,NA,1,32,19,58,4
"886","HH0747",214,3,677.5,380,4191.775,5249.275,4,1,62,19,58,5
"887","HH0748",214,3,742.5,1110,1785.925,3638.425,NA,1,26,19,58,4
"888","HH0749",214,3,915,4590,1035.68,6540.68,2,1,51,19,58,6
"889","HH0750",214,3,655,470,4883.33,6008.33,2,1,65,19,58,5
"890","HH0751",231,3,8320,2630,2255.42,13205.42,NA,1,70,18,65,2
"891","HH0752",231,3,1890,150,1655.315,3695.315,NA,1,53,18,65,2
"892","HH0753",231,3,192.5,570,2306.53,3069.03,NA,1,38,18,65,2
"893","HH0754",231,3,1223,2000,1602.75,4825.75,NA,1,30,18,65,2
"894","HH0755",231,3,490,0,378.725,868.725,NA,1,18,18,65,2
"895","HH0756",231,3,3350,2520,2706.255,8576.255,NA,1,55,18,65,2
"896","HH0757",231,3,1702.5,2945,1882.89,6530.39,NA,1,64,18,65,2
"897","HH0758",231,3,422.5,4745,2354.53,7522.03,NA,1,48,18,65,2
"898","HH0759",231,3,2870,620,7736.205,11226.205,NA,1,43,18,65,2
"899","HH0760",231,3,1582.5,200,1492.765,3275.265,NA,1,53,18,65,2
"900","HH0761",81,2,90,410,1033.1,1533.1,NA,1,22,29,272,3
"901","HH0761",81,3,40,490,539.83,1069.83,NA,1,28,29,272,3
"902","HH0762",81,2,1730,570,4681.67,6981.67,2,1,44,29,272,11
"903","HH0762",81,3,4125,450,2491.55,7066.55,1,1,50,29,272,11
"904","HH0763",81,2,17.5,360,6166.675,6544.175,NA,1,20,29,272,2
"905","HH0764",81,2,147.5,510,2116.47,2773.97,1.5,1,31,29,272,4
"906","HH0764",81,3,680,540,5437.495,6657.495,NA,1,38,29,272,4
"907","HH0765",81,3,382.5,300,670.09,1352.59,NA,1,27,29,272,2
"908","HH0766",81,2,15657.5,4720,8987.735,29365.235,1,1,58,29,272,4
"909","HH0766",81,3,695,890,5965.6,7550.6,1,1,64,29,272,4
"910","HH0767",81,2,3927.5,1190,7693.505,12811.005,3,1,48,29,272,8
"911","HH0768",81,3,390,1705,5310.14,7405.14,1,1,50,29,272,9
"912","HH0768",81,2,1202.5,880,5170.08,7252.58,NA,1,43,29,272,9
"913","HH0769",81,3,405,770,5064.35,6239.35,0,1,51,29,272,7
"914","HH0769",81,2,217.5,510,3870.94,4598.44,NA,1,44,29,272,7
"915","HH0770",81,3,542.5,620,3936.81,5099.31,0,1,36,29,272,6
"916","HH0770",81,2,4545,480,4369.64,9394.64,5,1,30,29,272,6
"917","HH0771",81,2,220,270,1301.61,1791.61,0,1,21,29,272,3
"918","HH0772",81,3,420,480,5096.08,5996.08,4,1,49,29,272,8
"919","HH0772",81,2,1860,630,1972.8,4462.8,2,1,42,29,272,8
"920","HH0773",81,2,232.5,1095,9232.025,10559.525,6,1,55,29,272,8
"921","HH0773",81,3,915,790,5241.745,6946.745,2,1,62,29,272,8
"922","HH0774",81,3,11685,300,1594.215,13579.215,1,1,39,29,272,7
"923","HH0774",81,2,21065,410,5642.91,27117.91,4,1,33,29,272,7
"924","HH0775",81,2,195,530,5455.08,6180.08,1,1,31,29,272,4
"925","HH0775",81,3,555,480,5132.1,6167.1,NA,1,37,29,272,4
"926","HH0776",81,2,680,410,2855.74,3945.74,3,1,23,29,272,5
"927","HH0776",81,3,445,230,4090.935,4765.935,NA,1,30,29,272,5
"928","HH0777",81,3,855,370,5174.375,6399.375,1,1,49,29,272,3
"929","HH0777",81,2,0,0,2343.165,2343.165,1,1,42,29,272,3
"930","HH0778",81,3,567.5,110,1797.25,2474.75,NA,1,32,29,272,3
"931","HH0778",81,2,912.5,870,4996.96,6779.46,NA,1,25,29,272,3
"932","HH0779",81,2,20,2560,8363.33,10943.33,4,1,47,29,272,7
"933","HH0779",81,3,130,490,5327.83,5947.83,2,1,54,29,272,7
"934","HH0780",81,2,2827.5,3105,6970.03,12902.53,2,1,43,29,272,9
"935","HH0781",81,2,675,560,5368.475,6603.475,2.5,1,39,29,272,7
"936","HH0781",81,3,1692.5,790,5501.12,7983.62,1,1,45,29,272,7
"937","HH0782",81,2,6282.5,560,2971.29,9813.79,4,1,27,29,272,2
"938","HH0782",81,3,4910,270,5728.75,10908.75,NA,1,34,29,272,2
"939","HH0783",81,3,1532.5,0,437.695,1970.195,1,1,75,29,272,1
"940","HH0783",81,2,38000,2200,4839.905,45039.905,2,1,69,29,272,1
"941","HH0784",81,2,377.5,310,697.89,1385.39,2,1,41,29,272,6
"942","HH0784",81,3,0,510,827.83,1337.83,1,1,47,29,272,6
"943","HH0785",81,2,20,1245,714.41,1979.41,1,1,37,29,272,7
"944","HH0785",81,3,1410,690,5519.225,7619.225,NA,1,43,29,272,7
"945","HH0786",81,3,965,620,2001.47,3586.47,NA,1,35,29,272,3
"946","HH0787",81,2,20,50,1924.705,1994.705,2,1,65,29,272,1
"947","HH0788",81,2,2127.5,770,4683.33,7580.83,2,1,40,29,272,10
"948","HH0789",81,2,532.5,635,5440.015,6607.515,1,1,20,29,272,3
"949","HH0790",81,2,1417.5,210,2410.625,4038.125,2,1,23,29,272,4
"950","HH0790",81,3,300,640,5481.6,6421.6,NA,1,30,29,272,4
"951","HH0791",81,3,160,320,747.615,1227.615,NA,1,29,29,272,2
"952","HH0792",81,2,4375,370,4367.25,9112.25,1,1,41,29,272,5
"953","HH0792",81,3,325,380,5212.87,5917.87,2,1,47,29,272,5
"954","HH0793",81,3,350,490,1526.01,2366.01,NA,1,24,29,272,3
"955","HH0793",81,2,175,410,701.42,1286.42,NA,1,17,29,272,3
"956","HH0794",81,3,2165,710,3257.375,6132.375,1,1,41,29,272,9
"957","HH0794",81,2,110,2860,2217.595,5187.595,1,1,35,29,272,9
"958","HH0795",81,2,0,0,1521.265,1521.265,NA,1,21,29,272,2
"959","HH0796",81,2,127.5,540,628.405,1295.905,2,1,22,29,272,3
"960","HH0797",81,2,217.5,420,4965.345,5602.845,2,1,27,29,272,7
"961","HH0798",81,3,917.5,570,4012.345,5499.845,NA,0,43,29,272,4
"962","HH0799",81,2,0,360,757.655,1117.655,NA,1,23,29,272,3
"963","HH0800",81,2,280,360,686.275,1326.275,NA,1,21,29,272,3
"964","HH0800",81,3,23620,330,4388.48,28338.48,NA,1,28,29,272,3
"965","HH0801",81,3,240,810,955.51,2005.51,NA,1,22,29,272,3
"966","HH0802",81,3,12320,2760,6437.615,21517.615,0,1,47,29,272,11
"967","HH0802",81,2,2685,1070,3435.01,7190.01,3,1,40,29,272,11
"968","HH0803",81,3,1280,330,7623.345,9233.345,NA,1,39,29,272,6
"969","HH0803",81,2,1535,1145,3868.425,6548.425,1.5,1,33,29,272,6
"970","HH0804",81,2,185,310,7798.955,8293.955,NA,1,71,29,272,1
"971","HH0805",81,2,327.5,560,3825.37,4712.87,NA,1,25,29,272,4
"972","HH0805",81,3,260,510,4618.29,5388.29,NA,1,31,29,272,4
"973","HH0806",81,3,840,440,6155.22,7435.22,2,1,56,29,272,9
