"","HHId","ComunID","Round","Animals.value","TraditionalAssets.value","IndustrialAssets.value","Total.value","Nfields","HHmale","HHAge","route.distance.SB","ComunSize","HHSize"
"417","HH0338",40,2,932.5,2730,8506.545,12169.045,2,1,58,16,277,1
"418","HH0339",40,3,1030,490,4956.9,6476.9,2,1,63,16,277,8
"419","HH0339",40,2,1755,2770,6153.86,10678.86,NA,1,56,16,277,8
"420","HH0340",40,2,380,2935,1609.93,4924.93,1,1,28,16,277,6
"421","HH0341",40,3,145,3045,2020.32,5210.32,5,1,50,16,277,8
"422","HH0341",40,2,230,2870,5606.545,8706.545,NA,1,42,16,277,8
"423","HH0342",40,2,1215,610,674.42,2499.42,NA,1,39,16,277,2
"424","HH0343",40,3,570,230,1355.1,2155.1,2,1,38,16,277,5
"425","HH0343",40,2,1720,200,412.36,2332.36,3,1,31,16,277,5
"426","HH0344",40,3,240,1095,4773.7,6108.7,1,1,47,16,277,7
"427","HH0344",40,2,550,2030,2492.205,5072.205,4,1,39,16,277,7
"428","HH0345",40,2,1422.5,2795,7517.073,11734.573,NA,1,56,16,277,10
"429","HH0346",40,3,605,845,1296.57,2746.57,NA,1,33,16,277,3
"430","HH0346",40,2,182.5,60,1092.895,1335.395,2.5,1,26,16,277,3
"431","HH0347",40,2,2165,520,4780.65,7465.65,NA,1,61,16,277,2
"432","HH0348",40,2,420,1110,1479.285,3009.285,2,1,24,16,277,4
"433","HH0348",40,3,400,860,1652.31,2912.31,NA,1,31,16,277,4
"434","HH0349",40,3,342.5,695,2066.35,3103.85,NA,1,34,16,277,5
"435","HH0349",40,2,712.5,995,1951.34,3658.84,NA,1,26,16,277,5
"436","HH0350",40,2,640,320,874.18,1834.18,NA,1,24,16,277,4
"437","HH0351",40,2,92.5,885,1560.015,2537.515,NA,1,21,16,277,2
"438","HH0352",40,2,75,1205,2095.75,3375.75,NA,1,30,16,277,2
"439","HH0353",40,3,790,830,1550.53,3170.53,2,1,49,16,277,6
"440","HH0354",40,2,470,0,867.855,1337.855,NA,1,37,16,277,2
"441","HH0355",40,2,717.5,3195,5649.35,9561.85,4,1,53,16,277,2
"442","HH0356",40,3,545,490,1646.56,2681.56,NA,1,27,16,277,4
"443","HH0357",40,2,200,1355,250.9,1805.9,NA,1,25,16,277,2
"444","HH0358",40,2,837.5,460,1371.62,2669.12,NA,1,25,16,277,4
"445","HH0359",40,2,1130,500,771.4,2401.4,NA,1,46,16,277,2
"446","HH0360",40,3,15825,370,2098.135,18293.135,NA,1,38,16,277,2
"447","HH0360",40,2,657.5,725,1006.33,2388.83,NA,1,31,16,277,2
"448","HH0361",40,3,1205,380,3772.48,5357.48,NA,1,53,16,277,6
"449","HH0361",40,2,2425,2885,3339.18,8649.18,NA,1,45,16,277,6
"450","HH0362",40,2,4355,4760,1954.615,11069.615,4,1,31,16,277,6
"451","HH0362",40,3,975,590,2959.31,4524.31,NA,1,39,16,277,6
"452","HH0363",40,2,415,900,903.735,2218.735,NA,1,19,16,277,2
"453","HH0364",40,3,2320,770,3266.12,6356.12,2,1,41,16,277,5
"454","HH0365",40,2,235,1700,2378.425,4313.425,NA,1,34,16,277,10
"455","HH0365",40,3,237.5,410,660.18,1307.68,2,1,42,16,277,10
"456","HH0366",40,3,10745,1205,6457.645,18407.645,1,1,66,16,277,2
"457","HH0367",40,2,625,2725,4710.32,8060.32,NA,1,27,16,277,4
"458","HH0368",40,2,950,2630,1704.39,5284.39,2,1,32,16,277,5
"459","HH0369",40,3,200,50,463.07,713.07,NA,1,23,16,277,4
"460","HH0370",40,3,1555,740,5691.06,7986.06,2,1,65,16,277,4
"461","HH0371",40,2,6927.5,1145,3104.485,11176.985,1,1,62,16,277,2
"462","HH0371",40,3,535,240,1564.78,2339.78,2,1,70,16,277,2
"463","HH0372",40,2,3097.5,1155,3726.05,7978.55,NA,1,43,16,277,2
"464","HH0373",40,3,1145,2815,7126.1,11086.1,0,1,63,16,277,4
"465","HH0374",40,3,165,760,665.49,1590.49,NA,1,24,16,277,3
"466","HH0375",40,3,83290,940,3541.59,87771.59,2,1,56,16,277,5
"467","HH0375",40,2,12680,1570,4874.93,19124.93,2,1,48,16,277,5
"468","HH0376",40,3,220,50,1235.655,1505.655,NA,1,32,16,277,5
"469","HH0377",40,2,307.5,980,5353.05,6640.55,3,1,75,16,277,2
"470","HH0378",40,2,255,50,829.455,1134.455,NA,1,23,16,277,1
"471","HH0379",40,2,445,2545,979.08,3969.08,NA,1,27,16,277,2
